ECM-912-56058, ,ECM-912-56091, ,ECM-912-56129, 
0.433977991,0.713880848,1.11765135102095,0.552667196162449,0.644360796424343,0.581886161374132
0.431112281,0.713874237,1.12327947919093,0.551428148230585,0.643520367395061,0.579103486480901
0.428145348,0.713867393,1.12910640322217,0.550145334841835,0.642650252863306,0.576222522381147
0.425073619,0.713860307,1.13513914495094,0.54881721011959,0.64174940428241,0.573239797318922
0.42189339,0.713852971,1.1413849742377,0.547442173584029,0.640816736069108,0.570151716909454
0.418600829,0.713845375,1.14785141772777,0.546018568223434,0.639851124295328,0.566954559807679
0.415191969,0.713837512,1.15454626792148,0.544544678497376,0.63885140533379,0.563644473223764
0.411662702,0.71382937,1.16147759256463,0.543018728269379,0.637816374455753,0.560217468280236
0.4099784,0.715216424,1.16730552844449,0.543882184032496,0.637309016893806,0.558778780916724
0.408609882,0.716918355,1.17308243922361,0.545241666977198,0.636891242986588,0.557691178540968
0.407193026,0.718680402,1.17906340114,0.546649169365435,0.636458712534888,0.556565160044528
0.405726123,0.720504687,1.18525562165595,0.548106387332467,0.636010904310352,0.555399368499208
0.404207407,0.722393409,1.19166656281463,0.549615076924179,0.635547278673882,0.554192399047609
0.402635047,0.724348845,1.19830395023228,0.551177056213231,0.635067276925333,0.552942797210179
0.401455132,0.726150294,1.20360054733483,0.553285300667445,0.634322385665411,0.551990952416433
0.400878987,0.727693999,1.20681466195073,0.556175569701536,0.633193963597497,0.551498082786211
0.40028249,0.729292231,1.21014230501943,0.55916792836553,0.63202568358213,0.550987804092144
0.399664925,0.730946915,1.21358748657514,0.562265982653338,0.630816137763133,0.550459501414009
0.399025546,0.732660046,1.2171543582939,0.565473465929222,0.62956386855626,0.549912538111464
0.398473804,0.734204649,1.22012610714332,0.568800880160981,0.628148061978788,0.549350490217282
0.398484636,0.734594291,1.21939472186771,0.572280872586967,0.626052211693712,0.548790955125027
0.398495851,0.734997695,1.21863750271601,0.575883784760093,0.623882332113296,0.548211656221925
0.398507462,0.735415349,1.21785353718809,0.579613958432406,0.62163580838637,0.547611895413746
0.398519483,0.735847754,1.21704188055265,0.583475888714639,0.619309933300402,0.546990949948285
0.399023562,0.735200493,1.21298227417433,0.5866489275671,0.616527471619786,0.546132303489927
0.399739256,0.734098727,1.2075101851922,0.589608697307707,0.613499121261927,0.54515826897541
0.400480229,0.732958044,1.20184481194054,0.592673011571284,0.610363803987284,0.544149829766406
0.401247375,0.731777071,1.19597932726267,0.595845563063087,0.607117741527184,0.543105770625689
0.402500875,0.729257548,1.18698127233603,0.597654411191253,0.604002363535186,0.542065205280812
0.403866047,0.726458725,1.17723609775592,0.599310587529205,0.600812947717905,0.540993809696401
0.405279438,0.723561041,1.16714670564641,0.601025263068236,0.597510875854921,0.539884570445051
0.406776095,0.719870193,1.15575420269645,0.601896460497912,0.594323663930013,0.538720382006402
0.408362246,0.715290034,1.14291919254213,0.6018052287951,0.591278199331322,0.53749774833545
0.410004423,0.710548096,1.12963082617045,0.601710774620378,0.588125163309314,0.536231928989566
0.41153865,0.705132618,1.11520241832174,0.600730697472507,0.585002581499518,0.534878590524222
0.412916967,0.698885194,1.09941529141396,0.59859901345303,0.581949257338405,0.53342325399245
0.41434397,0.6924171,1.08307053408346,0.596392034424662,0.578788084139743,0.531916512291761
0.415306203,0.685134949,1.06550737566173,0.59299308559941,0.575304147669287,0.529906060030502
0.416077639,0.677340068,1.04704413479318,0.588988002343831,0.571605040964433,0.527628033126682
0.416662468,0.66911687,1.0277776391337,0.584576964855972,0.567677571063584,0.525116887266312
0.416359424,0.659953272,1.0071886932721,0.57888648631059,0.563196295044955,0.521868511641102
0.416045677,0.650465999,0.985872507891155,0.57299500957375,0.558556732097031,0.518505397401092
0.414799998,0.640501861,0.963474468821348,0.566101874801736,0.552847733595079,0.513959535108105
0.413391369,0.630167461,0.940242800884172,0.558862754311495,0.546820108075349,0.509115668848366
0.411228216,0.619537266,0.916133260767374,0.550893927090975,0.539847474996264,0.50332873764945
0.408752713,0.608554773,0.891152948634979,0.542484936866942,0.53238346135595,0.497078959318357
0.405354878,0.5971629,0.86552279174385,0.533407854193287,0.524195515348263,0.490147799702603
0.40157588,0.585361933,0.839060055790582,0.523894085120793,0.515574382393874,0.482827739446114
0.396905358,0.573222303,0.812717731124913,0.513939930559839,0.506154312632049,0.474845007227859
0.391871935,0.560626068,0.78578403941718,0.503564139624041,0.496269358158853,0.46650452250025
0.386028686,0.547390825,0.759120630956976,0.492504789257412,0.485606595509493,0.457692330850412
0.379757192,0.533876319,0.732324919629152,0.481588354357527,0.474018765480249,0.448094386421412
0.373049465,0.52006663,0.705366187335052,0.470802716368877,0.461490838550992,0.437698201293629
0.365745123,0.506027915,0.679407911061775,0.460144135354068,0.448950175808145,0.427655940561234
0.358166781,0.49168429,0.653867993049707,0.449546931345454,0.436124187943104,0.417450210157959
0.350361088,0.4770973,0.62897668664417,0.439083443365359,0.423041088975457,0.407107136538207
0.342792209,0.462842151,0.605408014710682,0.428872703229837,0.410065586134345,0.397038967711611
0.335271375,0.448442378,0.58267551668008,0.419097570596345,0.397339505767597,0.387205967597344
0.32801311,0.434158499,0.560629741576493,0.409654788655152,0.385125112740068,0.377667356057489
0.321286967,0.420291268,0.539230511202718,0.40042530816988,0.373755314474827,0.368577506447042
0.315343924,0.407073969,0.518410361785203,0.391180309109635,0.363517720032305,0.360139623479225
0.309955922,0.394185242,0.49886612075636,0.382498321439713,0.354632412369695,0.352337486041401
0.305300867,0.381877766,0.480139403625067,0.373990914919433,0.346783178856635,0.345079313639794
0.30120929,0.370089689,0.461949432934061,0.365401407929437,0.339392400398342,0.337946380652052
0.297393484,0.358731555,0.444665147044232,0.357021736008292,0.332063495356373,0.330747293210847
0.293360465,0.347633835,0.428285971468083,0.348825164546723,0.324415732508509,0.323095587853431
0.28861932,0.336448218,0.412670593591295,0.340682944175674,0.315961545196871,0.31461742993843
0.282743911,0.324910706,0.398001298211316,0.332803687827257,0.306399559625952,0.305307092192018
0.2758948,0.313095144,0.383996528387038,0.325015086556955,0.296148282089765,0.295734345606523
0.268508286,0.301034589,0.370513265307748,0.317434769779184,0.285627528256801,0.286580116453242
0.260934722,0.288981302,0.35743141782261,0.310017191473637,0.27562139149918,0.278542307425019
0.253897237,0.277411508,0.344554964152439,0.302732952905266,0.266378987893921,0.271709529179602
0.247596133,0.26695037,0.331544501107436,0.295293064864402,0.257715680020094,0.265534755237139
0.242497334,0.258331959,0.318048462772374,0.28764914245839,0.249528944803518,0.259614489244006
0.2378961,0.250864958,0.304698256557391,0.280399934408069,0.241681205849153,0.253564718268338
0.233310709,0.244353735,0.291013802950367,0.272650052060185,0.234101456954254,0.247070020425662
0.228284751,0.238381656,0.277719542679678,0.264742458966582,0.227050776408519,0.240436865958976
0.22282259,0.232575241,0.265129025359983,0.256650239515182,0.220471111877585,0.234252596536008
0.217399976,0.22710665,0.25377390377107,0.248499171334251,0.21419416498176,0.22889745323951
0.212578826,0.222047672,0.243827382156132,0.240523519484698,0.207908706975511,0.224418591289753
0.208583702,0.217102728,0.234996940150951,0.232682756041751,0.201585950859176,0.22107069350193
0.205670621,0.211738661,0.227020415410454,0.225054407392257,0.195106231465758,0.218949925376427
0.204154253,0.20572976,0.219884378777486,0.218578161036433,0.188656089562657,0.217918814608187
0.203461443,0.19921576,0.213388169681844,0.214001767454492,0.182721332270856,0.216961763119168
0.201701442,0.192446375,0.207111783688659,0.211492343143319,0.178610480308438,0.215651050078945
0.196742411,0.186486623,0.200305441797204,0.209383639555295,0.176351659600742,0.213082862193517
0.18902695,0.182874411,0.193213975274733,0.205957979852301,0.174554005139067,0.20845235004793
0.181744199,0.181610282,0.187178853098196,0.201556168777215,0.173225816674495,0.202622957422157
0.177777284,0.180836427,0.183131567517598,0.198125832030605,0.174158240290222,0.198083046538612
0.176389054,0.178845673,0.180576547463166,0.19754640788456,0.177318214396355,0.196694577558152
0.176140249,0.176563415,0.178791237600006,0.199016582512707,0.180055577458552,0.197753965774683
