ECM-912-56058, ,ECM-912-56091, ,ECM-912-56129, 
8.961294437,8.158451521,7.90718622260924,7.27230182655363,8.0581608868358,7.88480263026114
9.298179732,8.541974044,8.27921388619497,7.67811431965519,8.42500591851187,8.2674571026738
9.616828936,8.908504417,8.63379414962332,8.06819850000617,8.77537828257295,8.63429204963475
9.912460833,9.252353073,8.96532180424804,8.43619927175573,9.10520782191182,8.98093347759482
10.18118132,9.568422368,9.26944311431097,8.77683898351933,9.41083238137067,9.30328273718231
10.42503424,9.858622363,9.54880219614881,9.09278473426376,9.69424726669963,9.60318138628423
10.64570726,10.12427726,9.8049882847624,9.38545880372976,9.95543169274311,9.88020833124054
10.84349802,10.36510183,10.0371720746278,9.65360069796014,10.1922384525021,10.1316487329946
11.01977026,10.58222258,10.2454452907161,9.89694323004204,10.4043448964379,10.3568701901855
11.1758968,10.77704929,10.4304257826427,10.1157944843695,10.5922615411015,10.5564700453982
11.31215539,10.94974855,10.5919251144766,10.309547004305,10.7554400838985,10.7300946803917
11.42945768,11.10110545,10.7307480216824,10.4788499193961,10.8946787180687,10.8786096034899
11.52789768,11.23101213,10.8478360624921,10.6248865483997,11.0114588538739,11.0033293211085
11.60757193,11.3395488,10.9456016442272,10.7505095696347,11.1081434520172,11.1062966610557
11.66779171,11.42611659,11.0249300490851,10.8565747081036,11.1852852752658,11.1876861191368
11.70915408,11.49156566,11.0858150841911,10.942803254716,11.2436111663301,11.2484040119972
11.7322793,11.53667641,11.1274179978265,11.0081915133434,11.2827969206406,11.288461566309
11.73757502,11.56200864,11.149539750449,11.052455174184,11.3028568163616,11.3079021210692
11.72467528,11.56738426,11.152871114205,11.0762524364633,11.3044271523833,11.3072061875704
11.6933384,11.55315842,11.1374804731067,11.0796428213235,11.2868885061601,11.2856270749894
11.64475435,11.52083741,11.1039827281995,11.0637012460067,11.2502380558066,11.2435452020589
11.57845211,11.46995946,11.0514144098451,11.0278044866545,11.1944346297231,11.1813078160603
11.49439903,11.4001463,10.9805413335405,10.9728769384052,11.1191276838254,11.0985304980991
11.39184148,11.31011437,10.89034935729,10.8982017676231,11.0225942647022,10.9934636546853
11.26990558,11.20016553,10.780146937376,10.8049058113411,10.9038680745597,10.8649400818185
11.12802318,11.07064466,10.6502677568486,10.6912457299735,10.7665669739027,10.7172990383407
10.96601943,10.92056682,10.5011984286476,10.5546832499987,10.6117001456134,10.5522025359475
10.78414843,10.74998911,10.332057596109,10.3949318079872,10.4395750577905,10.3701740536942
10.58296032,10.55888797,10.1415935920563,10.2114299939496,10.2474760057642,10.1673137576735
10.36079636,10.34671439,9.92956353438858,10.0079617770009,10.0328635629113,9.94107346870821
10.11655639,10.11256772,9.69621070237201,9.78473288761772,9.79618618089174,9.69229953955648
9.850289563,9.856512802,9.44382955032239,9.54264908659659,9.53856798068757,9.42261414068174
9.563294394,9.579724988,9.17105854539282,9.28001654745042,9.25962691139133,9.13251996659962
9.257047104,9.283165222,8.8779650025579,8.99618367545056,8.96094221560191,8.82364289021442
8.930990073,8.966191196,8.56476505571658,8.69084121658439,8.6415564009266,8.49538847501468
8.586048148,8.629499959,8.23223974626909,8.36557528476204,8.30244463353938,8.14899940205889
8.220609546,8.272118027,7.88140729139848,8.02083182928367,7.9445767511484,7.78416154392934
7.835331846,7.895493069,7.51174115273394,7.65640444750991,7.56850805183552,7.40204174986727
7.431725952,7.500622585,7.12435458117271,7.27328772337328,7.1751476032713,7.00342863161487
7.011697672,7.088894504,6.71974806945699,6.87199710202145,6.76502349660254,6.58953272424343
6.577480449,6.661950774,6.29933530833204,6.45366055851324,6.33954110110028,6.16160221715347
6.128833129,6.219506254,5.8642693784587,6.01917080900871,5.90004936014844,5.72103253690972
5.665661359,5.762003366,5.416226682876,5.57013194480954,5.44758489673373,5.26860462788475
5.189669387,5.291124487,4.95618518009516,5.10792669229101,4.98348424580111,4.80564770888991
4.702507374,4.808025962,4.48597628656442,4.63394922131356,4.50882858443232,4.33312808872481
4.20668787,4.314902145,4.006980818603,4.14901911242374,4.02567006922214,3.85319483572359
3.704116241,3.813526288,3.52232630432959,3.65558919964209,3.53708210735994,3.36869762120795
3.197123618,3.306207915,3.0353521843525,3.15691978756135,3.04542734018499,2.8820783303993
2.689622312,2.797190584,2.5507684029328,2.65696470512756,2.55590674089139,2.3983453366515
2.1869271,2.291835349,2.07219655499427,2.16151784833835,2.07350105753672,1.92263042290095
1.689737836,1.799713762,1.60466312253472,1.68032999838581,1.60815407464868,1.46528753668414
1.203579966,1.334312302,1.14914432000184,1.2265202359919,1.17089031480682,1.039766684473
0.766015862,0.911772299,0.731284608750212,0.819173128432056,0.769871828741893,0.66529858584102
0.403937198,0.555117396,0.390889059353157,0.478732860845679,0.426461281003289,0.360412536429745
0.156461184,0.284219069,0.154695089399251,0.224056597969381,0.163766408222817,0.138587673688286
0.024885477,0.105602337,0.0359245889480535,0.0649253842175736,0.0207089703677018,0.0122013391947381
-0.001844008,0.003622417,-0.0005609080983222,0.00073659700593628,-0.00233890137697058,-0.00356038758485524
0.049132889,-0.031584881,0.0461167727377737,0.00270989647130379,0.0566329394695238,0.0882444713439465
0.123433693,-0.032468097,0.142862601754328,0.0208963463335735,0.10460428391437,0.239300354912154
0.172676975,-0.000689697,0.212399659176029,0.0413221537812512,0.0629337018143688,0.351784396339232
0.176284407,0.025353948,0.19197216253096,0.0332994879203138,-0.0392186643714415,0.418499430741363
0.185813903,0.086649877,0.0418806217331886,0.0420352083875794,-0.207556733320008,0.5063969139154
0.249601033,0.225906523,-0.140654678173194,0.172192434300437,-0.375770229019561,0.65370599401574
0.388914119,0.470210764,-0.211784923326603,0.467141184695327,-0.450566205098371,0.804598389557728
0.578311793,0.781624312,-0.0533092263340207,0.869474896301603,-0.293974046021563,0.805684086475743
0.773862688,1.078288946,0.329719079607404,1.26110728663777,0.121761669669661,0.720477911746849
0.953168755,1.307570121,0.826097284116487,1.57002919337335,0.662567756362526,0.74225606925224
1.101177865,1.45779408,1.3087292475932,1.80648608889918,1.16282891862278,1.00161159633568
1.213280855,1.542239247,1.69524002290044,1.99503493587541,1.55198864782639,1.44939668911108
1.293727038,1.584069536,1.95771236341176,2.15368963538147,1.82969979832536,1.9182489612992
1.34673873,1.598334481,2.10543907032998,2.28764688476929,2.02125037052027,2.33400423863172
1.370238789,1.588030582,2.1563390161812,2.38888285953628,2.1448823440181,2.67845390275052
