"Sensitivity at 1 KHz from Smoothed Level",,,,,
Channel,"Sensitivity at 1 KHz from Smoothed Level","Lower Limit","Passed Lower Limit","Upper Limit","Passed Upper Limit"
,dBSPL,dBSPL,,dBSPL,
Left,105.847008624259,,True,,True
Right,104.844362507418,,True,,True

