"Channel Matching at 1 KHz",,,,,
Channel,"Channel Matching at 1 KHz","Lower Limit","Passed Lower Limit","Upper Limit","Passed Upper Limit"
,dB,dB,,dB,
"Left - Right",-1.00264693219533,-1.4,True,1.4,True

