"Rub and Buzz Peak Ratio",,,
Left,,Right,
X,Y,X,Y
Hz,dB,Hz,dB
10,-52.1243693939368,10,-51.0729680909783
17.6940281969636,-54.3383999688989,17.6940281969636,-54.2103995967385
25.3928635870624,-57.8488940281769,25.3928635870624,-56.2497356974132
33.0885010144515,-62.7855955899985,33.0885010144515,-63.0633658437683
40.7830381771567,-64.3890894683674,40.7830381771567,-65.4004512226492
48.4780138691693,-66.5503043631554,48.4780138691693,-67.933482024925
56.1743797918813,-69.8932090943832,56.1743797918813,-67.5971838316611
63.8726543782242,-65.4069106597914,63.8726543782242,-68.4786582679406
71.5739469075506,-68.5932298350191,71.5739469075506,-68.4759998069461
79.2705189133573,-69.1122174344822,79.2705189133573,-70.2189891940692
86.9681117778964,-71.3731299806512,86.9681117778964,-71.6105001242417
94.6513233633851,-70.2688758542128,94.6513233633851,-69.9673314657283
102.354746652985,-70.9000212073537,102.354746652985,-69.2997252459698
110.048079507564,-69.2344906681087,110.048079507564,-68.6612737132216
117.751902850048,-71.5945738254233,117.751902850048,-72.1830051417817
125.450757287502,-71.9494452479617,125.450757287502,-72.5910959258605
133.139655618076,-71.6418109590866,133.139655618076,-72.2674311427579
140.824838323884,-69.951266344944,140.824838323884,-70.4671985475111
148.524358358004,-72.6852103985436,148.524358358004,-72.6552784978516
156.218453336206,-70.1360768778275,156.218453336206,-69.8261191933015
163.91642570587,-69.7680395909209,163.91642570587,-67.7433786373334
171.6080845814,-66.81646955872,171.6080845814,-65.5041587209131
179.315324606061,-71.7300655953122,179.315324606061,-70.0125124590419
187.008550429029,-71.4363785470494,187.008550429029,-73.2511521492838
194.719382182854,-68.9878785448472,194.719382182854,-70.165033942698
202.39087599989,-74.157029531942,202.39087599989,-72.2188470766324
210.094946808649,-67.44810785189,210.094946808649,-68.8600049078757
217.812707355612,-69.4165331203589,217.812707355612,-72.459987302729
225.488353424222,-70.7966984829908,225.488353424222,-71.7997953592892
233.172635091374,-71.3482760113936,233.172635091374,-70.3260826460325
240.886933622716,-69.3163994471626,240.886933622716,-70.5600223274561
248.57730158026,-66.9439646601449,248.57730158026,-66.5893322230153
256.266532373728,-70.4490094990614,256.266532373728,-70.7972457432739
263.981897617879,-71.8099563991298,263.981897617879,-71.4577811666685
271.668070162107,-69.2936097938728,271.668070162107,-69.8695601962621
279.353990742366,-71.391740126983,279.353990742366,-71.1702853188574
287.073184463066,-69.1772254791112,287.073184463066,-67.2042519000315
294.769269295812,-69.9823653332591,294.769269295812,-68.4948721162274
302.477620290861,-70.2215180852002,302.477620290861,-69.6000847990545
310.138813675327,-67.0025141203368,310.138813675327,-67.804620368621
317.841128201766,-67.441841393276,317.841128201766,-66.7531298769667
325.525886799714,-70.9045685118253,325.525886799714,-69.3975314098727
333.2361178309,-69.8487522002795,333.2361178309,-68.5132286648506
340.91025596617,-67.8083363454533,340.91025596617,-68.8971113917952
348.649301605504,-71.8489495975555,348.649301605504,-71.786458215578
356.335422871113,-68.7216954220022,356.335422871113,-68.7288906278871
364.015849349869,-64.5377826961732,364.015849349869,-66.5059427507776
371.742591287181,-70.4107485934056,371.742591287181,-69.7724104582552
379.389943868549,-70.5450305344996,379.389943868549,-69.5677281412325
387.132538047579,-69.9300518373075,387.132538047579,-69.7788502262846
394.779869479324,-68.853835106685,394.779869479324,-68.7508061767602
402.513721298528,-68.326919894898,402.513721298528,-68.1008585508101
410.201721569402,-72.6454270345698,410.201721569402,-69.1097520962138
417.902529816786,-71.0286677940567,417.902529816786,-70.4564559820527
425.611402005699,-65.3889423270477,425.611402005699,-65.3223801521862
433.323497994127,-65.9207978935267,433.323497994127,-66.7434532792738
440.963177306359,-68.792014611344,440.963177306359,-69.6128058794269
448.66560363801,-70.8524027818657,448.66560363801,-68.9668017576428
456.356204657413,-68.017307113736,456.356204657413,-66.2161601065682
464.104211281543,-66.1489988040386,464.104211281543,-65.9693370098656
471.756787539758,-66.4772853130658,471.756787539758,-69.2749166028492
479.458665006679,-68.4985509055411,479.458665006679,-70.4939527863756
487.130047202232,-69.3039321638582,487.130047202232,-68.4913293670615
494.844823536484,-67.0860550257039,494.844823536484,-65.2338114201145
502.520608430735,-66.9226109298574,502.520608430735,-68.1768753884117
510.233639973734,-66.7582723883427,510.233639973734,-66.752641989412
517.981997690412,-67.9373082230454,517.981997690412,-73.6792679175992
525.679421646107,-63.6864409456743,525.679421646107,-64.9655634654874
533.320182309652,-64.2487370497137,533.320182309652,-63.502279575466
541.072001578714,-63.233347021539,541.072001578714,-63.6927839160626
548.760491414409,-67.3025342676829,548.760491414409,-64.5063806192786
556.46900250581,-67.933619752929,556.46900250581,-69.7882628829454
564.104872436098,-66.022270064447,564.104872436098,-70.400906301723
571.845521804825,-66.7273958878294,571.845521804825,-66.045246990622
579.506525036448,-65.6879872482498,579.506525036448,-68.0333910702865
587.176008542091,-68.1365350145717,587.176008542091,-67.5878582583963
594.946993885421,-68.8615979773923,594.946993885421,-67.6692882013929
602.62754549951,-70.0147469750111,602.62754549951,-69.0438218142133
610.309386783875,-68.1865890664083,610.309386783875,-70.8107116203772
617.990055297848,-68.0774271150729,617.990055297848,-68.1440663028638
625.667057980233,-68.3574179100844,625.667057980233,-69.0276196961756
633.439428492053,-65.8003264468622,633.439428492053,-65.804210133079
641.102732620312,-67.318486361092,641.102732620312,-69.4388876528134
648.754718624341,-67.4048371241468,648.754718624341,-70.8122221805986
656.498036152674,-69.2883148783896,656.498036152674,-69.0738997002158
664.227266054909,-69.8543972607093,664.227266054909,-69.6652433418036
671.832020825982,-70.176637577311,671.832020825982,-69.5972843985041
679.523842626796,-66.9595949083342,679.523842626796,-67.3185860575004
687.303728289976,-68.1824881836494,687.303728289976,-69.638981565605
694.949796933157,-68.7547045350208,694.949796933157,-66.8829379757859
702.680926028202,-71.4584943700847,702.680926028202,-68.2016894515247
710.384151311946,-72.7096882204233,710.384151311946,-67.1271013688983
718.056683308612,-70.7637643674954,718.056683308612,-69.7518870135213
725.695717032421,-69.1621476441976,725.695717032421,-70.1691190075753
733.41601848563,-67.0345730634376,733.41601848563,-69.2053635058012
741.099616452012,-70.5160199726728,741.099616452012,-72.8092814301724
748.863711266322,-71.4263216310803,748.863711266322,-71.5066312883109
756.587826924254,-73.0008293829804,756.587826924254,-68.9609100931836
764.269061553509,-70.6767074879848,764.269061553509,-70.2785826684235
771.904504316566,-70.9314568257593,771.904504316566,-70.484813350623
779.616229097462,-69.237768000478,779.616229097462,-71.1523028557691
787.278757357602,-70.346163206347,787.278757357602,-72.2676613934718
795.016597466246,-69.7749906893544,795.016597466246,-67.9329947967156
802.701775906754,-69.5451390522018,802.701775906754,-70.1295505525349
810.461244579504,-76.346802705479,810.461244579504,-72.8343223985226
818.164528437242,-71.8770144622952,818.164528437242,-71.6080027684514
825.808611658425,-71.2015386255844,825.808611658425,-72.9439783640888
833.524113287837,-72.7478179335514,833.524113287837,-70.4077102679976
841.176817362629,-70.9388897487402,841.176817362629,-71.6145551262926
848.899782007838,-66.8139088936126,848.899782007838,-72.9326536751554
856.556302963185,-71.5987297097252,856.556302963185,-69.045830489515
864.281880731108,-71.9052040543234,864.281880731108,-75.3706352763329
871.937322470289,-74.5173915668742,871.937322470289,-72.2418393086247
879.660572860245,-75.2619548686714,879.660572860245,-72.546089883168
887.309951821973,-69.7959911626415,887.309951821973,-72.2761130642601
895.025848484171,-71.2667715025636,895.025848484171,-74.7748423352
902.808841273465,-72.8439448218814,902.808841273465,-72.5115538083443
910.513512241901,-72.489474817,910.513512241901,-72.5208831496621
918.136711939234,-71.8943073528228,918.136711939234,-72.353518769301
925.823736250747,-71.2434785356105,925.823736250747,-73.8652105899266
933.575119542789,-72.3019701497942,933.575119542789,-68.090576125396
