Level -> Specify Data Points,,,
Left ROW,,Right ROW,
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
20,8.961294437,20,8.158451521
21.44534444,9.298179732,21.44534444,8.541974044
22.99513991,9.616828936,22.99513991,8.908504417
24.65693479,9.912460833,24.65693479,9.252353073
26.43882297,10.18118132,26.43882297,9.568422368
28.34948326,10.42503424,28.34948326,9.858622363
30.39822166,10.64570726,30.39822166,10.12427726
32.59501669,10.84349802,32.59501669,10.36510183
34.950568,11.01977026,34.950568,10.58222258
37.47634846,11.1758968,37.47634846,10.77704929
40.18466005,11.31215539,40.18466005,10.94974855
43.0886938,11.42945768,43.0886938,11.10110545
46.202594,11.52789768,46.202594,11.23101213
49.54152712,11.60757193,49.54152712,11.3395488
53.12175566,11.66779171,53.12175566,11.42611659
56.96071737,11.70915408,56.96071737,11.49156566
61.07711018,11.7322793,61.07711018,11.53667641
65.49098326,11.73757502,65.49098326,11.56200864
70.22383468,11.72467528,70.22383468,11.56738426
75.29871614,11.6933384,75.29871614,11.55315842
80.74034517,11.64475435,80.74034517,11.52083741
86.57522562,11.57845211,86.57522562,11.46995946
92.83177667,11.49439903,92.83177667,11.4001463
99.54047129,11.39184148,99.54047129,11.31011437
106.7339846,11.26990558,106.7339846,11.20016553
114.4473532,11.12802318,114.4473532,11.07064466
122.7181455,10.96601943,122.7181455,10.92056682
131.5866449,10.78414843,131.5866449,10.74998911
141.0960462,10.58296032,141.0960462,10.55888797
151.2926655,10.36079636,151.2926655,10.34671439
162.2261662,10.11655639,162.2261662,10.11256772
173.9498005,9.850289563,173.9498005,9.856512802
186.5206694,9.563294394,186.5206694,9.579724988
200,9.257047104,200,9.283165222
214.4534444,8.930990073,214.4534444,8.966191196
229.9513991,8.586048148,229.9513991,8.629499959
246.5693479,8.220609546,246.5693479,8.272118027
264.3882297,7.835331846,264.3882297,7.895493069
283.4948326,7.431725952,283.4948326,7.500622585
303.9822166,7.011697672,303.9822166,7.088894504
325.9501669,6.577480449,325.9501669,6.661950774
349.50568,6.128833129,349.50568,6.219506254
374.7634846,5.665661359,374.7634846,5.762003366
401.8466005,5.189669387,401.8466005,5.291124487
430.886938,4.702507374,430.886938,4.808025962
462.02594,4.20668787,462.02594,4.314902145
495.4152712,3.704116241,495.4152712,3.813526288
531.2175566,3.197123618,531.2175566,3.306207915
569.6071737,2.689622312,569.6071737,2.797190584
610.7711018,2.1869271,610.7711018,2.291835349
654.9098326,1.689737836,654.9098326,1.799713762
702.2383468,1.203579966,702.2383468,1.334312302
752.9871614,0.766015862,752.9871614,0.911772299
807.4034517,0.403937198,807.4034517,0.555117396
865.7522562,0.156461184,865.7522562,0.284219069
928.3177667,0.024885477,928.3177667,0.105602337
995.4047129,-0.001844008,995.4047129,0.003622417
1067.339846,0.049132889,1067.339846,-0.031584881
1144.473532,0.123433693,1144.473532,-0.032468097
1227.181455,0.172676975,1227.181455,-0.000689697
1315.866449,0.176284407,1315.866449,0.025353948
1410.960462,0.185813903,1410.960462,0.086649877
1512.926655,0.249601033,1512.926655,0.225906523
1622.261662,0.388914119,1622.261662,0.470210764
1739.498005,0.578311793,1739.498005,0.781624312
1865.206694,0.773862688,1865.206694,1.078288946
2000,0.953168755,2000,1.307570121
2144.534444,1.101177865,2144.534444,1.45779408
2299.513991,1.213280855,2299.513991,1.542239247
2465.693479,1.293727038,2465.693479,1.584069536
2643.882297,1.34673873,2643.882297,1.598334481
2834.948326,1.370238789,2834.948326,1.588030582
3039.822166,1.352302963,3039.822166,1.545935273
3259.501669,1.280986749,3259.501669,1.458310665
3495.0568,1.172628642,3495.0568,1.31571098
3747.634846,1.040264149,3747.634846,1.114906055
4018.466005,0.882210725,4018.466005,0.869154683
4308.86938,0.704978065,4308.86938,0.614128951
4620.2594,0.528269514,4620.2594,0.398722454
4954.152712,0.418998105,4954.152712,0.26426988
5312.175566,0.434590861,5312.175566,0.23309717
5696.071737,0.573776421,5696.071737,0.279468289
6107.711018,0.733599177,6107.711018,0.301971824
6549.098326,0.710855284,6549.098326,0.116077964
7022.383468,0.309809464,7022.383468,-0.455150758
7529.871614,-0.558799482,7529.871614,-1.48741809
8074.034517,-1.839033395,8074.034517,-2.914958532
8657.522562,-3.276446099,8657.522562,-4.492756739
9283.177667,-4.399226256,9283.177667,-5.764309942
9954.047129,-4.550649096,9954.047129,-6.078996308
10673.39846,-3.062874754,10673.39846,-4.652906072
11444.73532,-0.93603776,11444.73532,-2.226979863
12271.81455,-0.529755897,12271.81455,-1.62504646
13158.66449,-1.328353562,13158.66449,-2.309335852
14109.60462,-4.011570519,14109.60462,-4.82822054
15129.26655,-8.334014991,15129.26655,-9.316994939
16222.61662,-11.05360142,16222.61662,-11.68423205
17394.98005,-12.18444696,17394.98005,-12.04564329
18652.06694,-12.75211416,18652.06694,-12.09107206
20000,-13.2530342,20000,-12.18649286
