Sensitivity at 1 KHz from Smoothed Level,,,,,
Channel,Sensitivity at 1 KHz from Smoothed Level,Lower Limit,Passed Lower Limit,Upper Limit,Passed Upper Limit
,dBSPL,dBSPL,,dBSPL,
Left,105.6266081,,TRUE,,TRUE
Right,105.7495031,,TRUE,,TRUE
