"Rub and Buzz Peak Ratio",,,
Left,,Right,
X,Y,X,Y
Hz,dB,Hz,dB
10,-49.828298764973,10,-51.2892388547512
17.6940281969636,-52.9422977415526,17.6940281969636,-54.6581325045944
25.3928635870624,-60.5177119681719,25.3928635870624,-63.461950258446
33.0885010144515,-65.67681494299,33.0885010144515,-67.6873060661491
40.7830381771567,-68.8684268675595,40.7830381771567,-70.578143060165
48.4780138691693,-69.6655449771717,48.4780138691693,-70.6630235376495
56.1743797918813,-70.1152519935237,56.1743797918813,-71.9366689202928
63.8726543782242,-70.3480099254743,63.8726543782242,-69.7466504408861
71.5739469075506,-70.05559935449,71.5739469075506,-73.4634428524364
79.2705189133573,-73.6137959656677,79.2705189133573,-73.6523374349131
86.9681117778964,-71.1687677679614,86.9681117778964,-73.4147099954832
94.6513233633851,-70.8643725001137,94.6513233633851,-72.6390675214834
102.354746652985,-69.6880874205641,102.354746652985,-70.1590375252998
110.048079507564,-71.0885060844962,110.048079507564,-70.6324974144743
117.751902850048,-71.7967974061176,117.751902850048,-73.6092931338922
125.450757287502,-72.0982768510758,125.450757287502,-73.7621007726483
133.139655618076,-71.6468999949572,133.139655618076,-74.7805481594595
140.824838323884,-70.465528951651,140.824838323884,-71.2368192872584
148.524358358004,-69.918473705619,148.524358358004,-69.5170683415196
156.218453336206,-71.0522661176054,156.218453336206,-72.3221823117003
163.91642570587,-71.0547890283986,163.91642570587,-70.5360441245496
171.6080845814,-70.649599260587,171.6080845814,-73.1805223072769
179.315324606061,-69.8437096266214,179.315324606061,-72.4902129258028
187.008550429029,-71.1663326871671,187.008550429029,-70.8141681108648
194.719382182854,-71.9766827945374,194.719382182854,-72.5603213512795
202.39087599989,-68.7520293206496,202.39087599989,-69.5286093762055
210.094946808649,-69.8094665046812,210.094946808649,-71.4245495775809
217.812707355612,-69.9950397732894,217.812707355612,-72.8104859853282
225.488353424222,-67.0158276709675,225.488353424222,-69.4164513532217
233.172635091374,-68.4971202045833,233.172635091374,-69.964234752574
240.886933622716,-65.4305346801078,240.886933622716,-67.4411121980496
248.57730158026,-69.2302206118763,248.57730158026,-72.1269384169344
256.266532373728,-68.979504866143,256.266532373728,-70.8419684839354
263.981897617879,-69.7196404355088,263.981897617879,-68.7393378152322
271.668070162107,-72.6735672049467,271.668070162107,-71.5219299163981
279.353990742366,-70.179951714373,279.353990742366,-70.208759433895
287.073184463066,-68.1575290951765,287.073184463066,-72.6044250999486
294.769269295812,-69.7796359052788,294.769269295812,-71.2105337092617
302.477620290861,-64.9074206634894,302.477620290861,-67.2787827752472
310.138813675327,-69.9622079536033,310.138813675327,-72.1985083314584
317.841128201766,-72.4646909795423,317.841128201766,-71.8560901950022
325.525886799714,-68.7828681813603,325.525886799714,-71.5603931874456
333.2361178309,-66.2321141142199,333.2361178309,-68.1673512757289
340.91025596617,-68.1299426712918,340.91025596617,-71.8390422513068
348.649301605504,-68.7112533214738,348.649301605504,-70.497173645907
356.335422871113,-63.8964700010008,356.335422871113,-65.6324139251993
364.015849349869,-67.710341170934,364.015849349869,-71.763238958109
371.742591287181,-68.3207824930619,371.742591287181,-72.2385489688889
379.389943868549,-69.3251930273271,379.389943868549,-68.7400050288859
387.132538047579,-67.4610811684743,387.132538047579,-68.9009746713539
394.779869479324,-68.3254761037036,394.779869479324,-68.7026186318278
402.513721298528,-68.4582105205131,402.513721298528,-70.4016565072157
410.201721569402,-67.3580896860499,410.201721569402,-69.2611289574027
417.902529816786,-67.6630868186217,417.902529816786,-71.7525204315535
425.611402005699,-70.8102945287207,425.611402005699,-69.3494314202385
433.323497994127,-68.6690938384918,433.323497994127,-70.8660948113574
440.963177306359,-67.9340874139588,440.963177306359,-68.6265121428357
448.66560363801,-62.9808971422744,448.66560363801,-65.046562080321
456.356204657413,-65.4563644067389,456.356204657413,-69.4790020056946
464.104211281543,-67.4531481092285,464.104211281543,-71.5327759042855
471.756787539758,-68.6222261527565,471.756787539758,-68.2197378011328
479.458665006679,-66.7084066812422,479.458665006679,-69.7158280896201
487.130047202232,-67.9396964251839,487.130047202232,-66.7470187381124
494.844823536484,-68.9722478336721,494.844823536484,-71.3377828613833
502.520608430735,-67.6845863703319,502.520608430735,-68.3208952624824
510.233639973734,-64.2433073153621,510.233639973734,-66.0707700389213
517.981997690412,-64.5008420346845,517.981997690412,-64.9759900918148
525.679421646107,-62.715325568894,525.679421646107,-64.8939034962092
533.320182309652,-63.6556882084134,533.320182309652,-64.6153476218526
541.072001578714,-67.5238003182623,541.072001578714,-68.4491186553762
548.760491414409,-67.98329994329,548.760491414409,-66.9057558678304
556.46900250581,-67.1190854612757,556.46900250581,-69.601262708029
564.104872436098,-66.2416843151564,564.104872436098,-68.2454933119462
571.845521804825,-65.2903955105077,571.845521804825,-67.6342714695823
579.506525036448,-67.8996936937913,579.506525036448,-69.4781359653864
587.176008542091,-71.4883600608034,587.176008542091,-68.5334554901524
594.946993885421,-69.9290678902026,594.946993885421,-72.4860758515651
602.62754549951,-69.7015767194533,602.62754549951,-71.4208285511847
610.309386783875,-62.4265075664805,610.309386783875,-69.7272137564503
617.990055297848,-67.4959647131014,617.990055297848,-70.6510607966306
625.667057980233,-68.8524271431533,625.667057980233,-68.3136036200704
633.439428492053,-70.1086628187895,633.439428492053,-71.3087939108171
641.102732620312,-65.3881743861619,641.102732620312,-70.7618527340474
648.754718624341,-68.9176134181913,648.754718624341,-68.9018005110676
656.498036152674,-67.385186369297,656.498036152674,-67.7925771277832
664.227266054909,-65.4186553180951,664.227266054909,-69.2219490382302
671.832020825982,-66.2430375308046,671.832020825982,-71.4533105015924
679.523842626796,-67.2641957067823,679.523842626796,-72.278437143754
687.303728289976,-68.5827901089409,687.303728289976,-71.6137375767397
694.949796933157,-70.5298650653615,694.949796933157,-69.9262372616788
702.680926028202,-68.7966447296853,702.680926028202,-71.4183176383051
710.384151311946,-70.9253611842466,710.384151311946,-71.2510276569809
718.056683308612,-65.9444208175555,718.056683308612,-73.9419901143746
725.695717032421,-69.7417354997009,725.695717032421,-69.5861902211901
733.41601848563,-70.2922215527442,733.41601848563,-71.5110296228468
741.099616452012,-67.675164829295,741.099616452012,-72.2501274627687
748.863711266322,-68.4409996211263,748.863711266322,-70.8690363787395
756.587826924254,-67.5791244763862,756.587826924254,-70.6222193003237
764.269061553509,-71.6530691699544,764.269061553509,-69.4972366141436
771.904504316566,-65.9642842428496,771.904504316566,-73.0370891052657
779.616229097462,-69.286247924008,779.616229097462,-70.8939012433118
787.278757357602,-69.2086944252766,787.278757357602,-69.5277584982873
795.016597466246,-74.0576460845092,795.016597466246,-73.5167496890968
802.701775906754,-69.8257245981569,802.701775906754,-70.3858167381792
810.461244579504,-70.5693281282739,810.461244579504,-71.9112162750277
818.164528437242,-68.042711813047,818.164528437242,-71.3791441331134
825.808611658425,-74.9065925352977,825.808611658425,-73.7292535194248
833.524113287837,-69.5719300124824,833.524113287837,-71.8239451366006
841.176817362629,-71.1658419022588,841.176817362629,-72.4002007274821
848.899782007838,-71.9983389760282,848.899782007838,-68.0527443300977
856.556302963185,-72.506889096403,856.556302963185,-69.564162637631
864.281880731108,-70.7494800809904,864.281880731108,-74.1854908665614
871.937322470289,-70.217096869414,871.937322470289,-74.4288791904012
879.660572860245,-71.6055510228186,879.660572860245,-73.2955794054406
887.309951821973,-70.7656883815512,887.309951821973,-75.1119452787327
895.025848484171,-72.501715809031,895.025848484171,-69.8755780169466
902.808841273465,-71.700397916824,902.808841273465,-73.1396794031215
910.513512241901,-72.8922428076802,910.513512241901,-75.6391604324795
918.136711939234,-71.6884235587565,918.136711939234,-76.3436459816488
925.823736250747,-75.4292031355124,925.823736250747,-71.4924150894506
933.575119542789,-73.7884808778987,933.575119542789,-72.6243713956323
